Clock,S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix,Miscellaneous
04/26/10 17:14:20.593408,Snd,Nrm,    0,    1,ID_CONNECTION_REQUEST_ACCEPTED,552,632177656,UNASSIGNED_SYSTEM_ADDRESS,127.0.0.1:4944,52685,-842150451,0,0,,
04/26/10 17:14:20.609032,Rcv,Ack,0,,,,632177667,UNASSIGNED_SYSTEM_ADDRESS,127.0.0.1:4944,,,,,,
04/26/10 17:14:20.609032,Rcv,Nrm,    1,    2,ID_NEW_INCOMING_CONNECTION,536,632177667,UNASSIGNED_SYSTEM_ADDRESS,127.0.0.1:4944,52685,-842150451,0,0,,
04/26/10 17:14:20.609032,Rcv,Nrm,16777215,    2,ID_INTERNAL_PING,72,632177667,UNASSIGNED_SYSTEM_ADDRESS,127.0.0.1:4944,52685,-842150451,0,-842150451,,
04/26/10 17:14:20.609032,Rcv,Nrm,16777215,    3,ID_INTERNAL_PING,72,632177678,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,-842150451,,
04/26/10 17:14:20.609032,Snd,Nrm,16777215,    1,ID_INTERNAL_PING,72,632177678,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,0,,
04/26/10 17:14:20.609032,Snd,Nrm,16777215,    1,ID_CONNECTED_PONG,136,632177678,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,-842150451,,
04/26/10 17:14:20.609032,Snd,Nrm,16777215,    1,ID_INTERNAL_PING,72,632177678,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,-842150451,,
04/26/10 17:14:20.624657,Rcv,Nrm,16777215,    5,ID_CONNECTED_PONG,136,632177689,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,-842150451,,
04/26/10 17:14:20.624657,Rcv,Nrm,16777215,    5,ID_CONNECTED_PONG,136,632177689,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,-842150451,,
04/26/10 17:14:20.624657,Snd,Nrm,16777215,    1,ID_CONNECTED_PONG,136,632177689,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,-842150451,,
04/26/10 17:14:20.624657,Snd,Nrm,    1,    2,ID_REPLICA_MANAGER_SCOPE_CHANGE,16,632177689,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,1,,
04/26/10 17:14:20.640281,Rcv,Ack,1,,,,632177699,127.0.0.1:12345,127.0.0.1:4944,,,,,,
04/26/10 17:14:20.671530,Rcv,Nrm,    2,    7,ID_REPLICA_MANAGER_SCOPE_CHANGE,16,632177732,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,1,,
04/26/10 17:14:20.671530,Rcv,Nrm,    3,    7,ID_REPLICA_MANAGER_SCOPE_CHANGE,16,632177732,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,2,,
04/26/10 17:14:20.671530,Rcv,Nrm,    4,    7,ID_REPLICA_MANAGER_DOWNLOAD_STARTED,16,632177732,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,3,,
